Starting data collection...
Saved - Temp: 80.8F  Humidity: 58.7%  Air Quality: 0.34V
Saved - Temp: 80.8F  Humidity: 58.8%  Air Quality: 0.34V
Saved - Temp: 80.8F  Humidity: 58.8%  Air Quality: 0.34V
Saved - Temp: 80.8F  Humidity: 58.8%  Air Quality: 0.34V
Saved - Temp: 80.8F  Humidity: 58.7%  Air Quality: 0.34V
Saved - Temp: 80.8F  Humidity: 58.7%  Air Quality: 0.34V
Saved - Temp: 80.8F  Humidity: 58.7%  Air Quality: 0.35V
Saved - Temp: 80.8F  Humidity: 58.7%  Air Quality: 0.35V
Saved - Temp: 80.8F  Humidity: 58.7%  Air Quality: 0.35V
Saved - Temp: 80.8F  Humidity: 58.7%  Air Quality: 0.35V
Saved - Temp: 81.0F  Humidity: 58.7%  Air Quality: 0.35V
Saved - Temp: 80.8F  Humidity: 58.7%  Air Quality: 0.35V
Saved - Temp: 80.8F  Humidity: 58.7%  Air Quality: 0.34V
Saved - Temp: 80.8F  Humidity: 58.8%  Air Quality: 0.34V
Saved - Temp: 80.8F  Humidity: 58.7%  Air Quality: 0.34V
Saved - Temp: 80.8F  Humidity: 58.7%  Air Quality: 0.34V
Saved - Temp: 80.8F  Humidity: 58.3%  Air Quality: 0.34V
Saved - Temp: 80.6F  Humidity: 57.9%  Air Quality: 0.33V
Saved - Temp: 80.6F  Humidity: 57.8%  Air Quality: 0.33V
Saved - Temp: 80.6F  Humidity: 58.1%  Air Quality: 0.33V
Saved - Temp: 80.4F  Humidity: 57.3%  Air Quality: 0.33V
Saved - Temp: 80.2F  Humidity: 57.1%  Air Quality: 0.33V
Saved - Temp: 80.1F  Humidity: 56.9%  Air Quality: 0.32V
Saved - Temp: 80.1F  Humidity: 56.7%  Air Quality: 0.32V
Saved - Temp: 79.9F  Humidity: 56.6%  Air Quality: 0.32V
Saved - Temp: 79.7F  Humidity: 56.2%  Air Quality: 0.32V
Saved - Temp: 79.5F  Humidity: 56.0%  Air Quality: 0.31V
Saved - Temp: 79.5F  Humidity: 55.7%  Air Quality: 0.31V
Saved - Temp: 79.5F  Humidity: 55.6%  Air Quality: 0.31V
Saved - Temp: 79.5F  Humidity: 55.3%  Air Quality: 0.31V
Saved - Temp: 79.3F  Humidity: 55.0%  Air Quality: 0.31V
Saved - Temp: 79.3F  Humidity: 54.9%  Air Quality: 0.31V
Saved - Temp: 79.3F  Humidity: 54.7%  Air Quality: 0.31V
